service,setting,name,sd0,req0,sd1,req1,sd2,req2,sd3,req3,sd4,req4,sd5,req5,sd6,req6,sd7,req7,sd8,req8,sd9,req9,sd10,req10,sd11,req11,sd12,req12,sd13,req13,sd14,req14,sd15,req15,sd16,req16,sd17,req17,sd18,req18,sd19,req19,sd20,req20,sd21,req21,sd22,req22,sd23,req23,sd24,req24,sd25,req25,sd26,req26,sd27,req27,sd28,req28,sd29,req29,sd30,req30,sd31,req31,sd32,req32,sd33,req33,sd34,req34,sd35,req35,sd36,req36,sd37,req37,sd38,req38,sd39,req39,sd40,req40,sd41,req41,sd42,req42,sd43,req43,sd44,req44,sd45,req45,sd46,req46,sd47,req47,sd48,req48,sd49,req49,policy,change
24,G2.1.2,service24,"(0, True)","([0, 2], 0, True)","(2, False)","([2, 2], 0, False)","(0, False)","([1, 2], 0, False)","(0, False)","([1, 2], 1, True)","(1, False)","([2, 2], 0, False)","(2, True)","([0, 2], 1, True)","(2, False)","([2, 2], 0, False)","(0, False)","([1, 2], 1, False)","(2, False)","([0, 2], 1, False)","(0, False)","([2, 2], 1, False)","(0, True)","([0, 2], 1, False)","(1, False)","([1, 2], 1, True)","(2, False)","([0, 2], 0, False)","(1, True)","([0, 2], 0, False)","(0, False)","([2, 2], 1, True)","(1, False)","([1, 2], 1, True)","(0, False)","([1, 2], 0, True)","(2, True)","([1, 2], 0, True)","(1, True)","([2, 2], 1, True)","(0, True)","([0, 2], 1, True)","(0, True)","([1, 2], 0, True)","(0, True)","([1, 2], 0, False)","(1, True)","([2, 2], 0, False)","(0, True)","([1, 2], 1, True)","(2, False)","([2, 2], 0, True)","(1, False)","([2, 2], 0, False)","(0, True)","([1, 2], 0, False)","(0, False)","([0, 2], 0, False)","(0, False)","([1, 2], 1, True)","(1, False)","([2, 2], 1, False)","(2, True)","([0, 2], 0, False)","(1, False)","([1, 2], 1, False)","(0, True)","([1, 2], 1, True)","(0, False)","([1, 2], 0, False)","(0, False)","([1, 2], 1, True)","(0, True)","([0, 2], 0, True)","(2, False)","([1, 2], 0, False)","(2, True)","([0, 2], 0, False)","(1, False)","([1, 2], 1, False)","(0, False)","([1, 2], 0, False)","(1, False)","([1, 2], 1, True)","(2, True)","([2, 2], 0, True)","(0, True)","([0, 2], 1, True)","(0, True)","([1, 2], 1, True)","(0, False)","([1, 2], 1, False)","(0, False)","([1, 2], 1, True)","(1, False)","([1, 2], 1, True)","(0, False)","([2, 2], 1, True)","(0, True)","([1, 2], 0, True)","(2, False)","([1, 2], 0, True)","[0.3, 0.6]",[]
25,G2.1.2,service25,"(1, True)","([2, 2], 0, False)","(1, False)","([2, 2], 0, True)","(1, True)","([1, 2], 0, True)","(1, True)","([1, 2], 0, True)","(1, True)","([0, 2], 1, False)","(2, True)","([0, 2], 1, False)","(0, False)","([0, 2], 0, False)","(2, True)","([0, 2], 1, False)","(0, False)","([1, 2], 1, False)","(1, False)","([0, 2], 0, True)","(1, True)","([1, 2], 1, True)","(0, True)","([1, 2], 1, True)","(2, False)","([0, 2], 1, True)","(0, True)","([2, 2], 1, True)","(2, True)","([1, 2], 0, True)","(0, False)","([2, 2], 1, False)","(2, False)","([0, 2], 0, True)","(2, True)","([2, 2], 1, True)","(0, True)","([1, 2], 1, False)","(1, False)","([1, 2], 1, False)","(2, True)","([1, 2], 0, True)","(2, False)","([1, 2], 0, False)","(2, True)","([2, 2], 1, False)","(0, False)","([1, 2], 0, True)","(0, False)","([0, 2], 0, False)","(2, False)","([1, 2], 0, True)","(1, False)","([1, 2], 0, True)","(0, True)","([2, 2], 0, True)","(1, True)","([0, 2], 1, False)","(0, True)","([0, 2], 0, False)","(2, True)","([0, 2], 0, False)","(0, True)","([1, 2], 0, False)","(1, True)","([0, 2], 0, True)","(0, True)","([0, 2], 1, False)","(1, False)","([2, 2], 0, False)","(1, False)","([1, 2], 1, True)","(2, False)","([2, 2], 0, True)","(0, False)","([1, 2], 0, False)","(0, False)","([0, 2], 0, True)","(1, True)","([1, 2], 0, False)","(0, False)","([2, 2], 1, True)","(2, False)","([1, 2], 1, False)","(1, False)","([1, 2], 0, False)","(0, False)","([1, 2], 1, True)","(0, False)","([2, 2], 1, True)","(1, False)","([2, 2], 0, False)","(0, False)","([0, 2], 0, True)","(2, False)","([0, 2], 1, False)","(2, False)","([1, 2], 0, False)","(2, False)","([0, 2], 0, True)","[0.6, 0.9]",[]
26,G2.1.2,service26,"(1, False)","([1, 2], 0, True)","(0, True)","([2, 2], 1, False)","(0, True)","([2, 2], 1, False)","(1, False)","([0, 2], 0, True)","(2, True)","([0, 2], 0, False)","(1, False)","([2, 2], 0, True)","(0, False)","([0, 2], 0, True)","(0, True)","([0, 2], 0, True)","(1, True)","([0, 2], 1, True)","(1, False)","([1, 2], 1, False)","(0, False)","([2, 2], 0, False)","(2, True)","([0, 2], 0, True)","(0, True)","([1, 2], 0, False)","(0, False)","([0, 2], 1, False)","(2, False)","([0, 2], 1, False)","(2, True)","([0, 2], 1, True)","(0, False)","([1, 2], 0, True)","(0, False)","([1, 2], 0, False)","(0, False)","([1, 2], 0, False)","(0, True)","([2, 2], 1, False)","(0, True)","([0, 2], 1, False)","(0, True)","([0, 2], 0, False)","(0, False)","([1, 2], 1, False)","(2, True)","([1, 2], 0, True)","(2, False)","([2, 2], 1, True)","(0, True)","([1, 2], 1, True)","(2, False)","([2, 2], 0, False)","(2, True)","([0, 2], 0, True)","(0, True)","([0, 2], 0, False)","(2, False)","([2, 2], 1, False)","(1, False)","([1, 2], 0, True)","(1, False)","([1, 2], 1, True)","(2, True)","([1, 2], 1, False)","(1, True)","([2, 2], 1, True)","(2, False)","([1, 2], 0, True)","(2, True)","([2, 2], 1, False)","(2, False)","([0, 2], 0, True)","(2, False)","([1, 2], 0, True)","(1, False)","([1, 2], 1, False)","(1, True)","([1, 2], 1, False)","(2, False)","([2, 2], 1, True)","(1, False)","([1, 2], 0, False)","(2, True)","([1, 2], 0, True)","(0, True)","([2, 2], 1, False)","(1, True)","([0, 2], 1, True)","(0, False)","([0, 2], 0, False)","(0, False)","([1, 2], 1, False)","(2, False)","([1, 2], 0, True)","(0, True)","([1, 2], 0, True)","(0, False)","([2, 2], 0, True)","[0.3, 0.6]","[('sd39', 0), ('sd32', 1), ('sd41', 2), ('sd4', 1), ('sd3', 2), ('sd44', 0), ('sd30', 2), ('sd6', 1), ('sd10', 1), ('sd0', 2), ('sd7', 1), ('sd45', 1), ('sd38', 0), ('sd19', 1), ('sd33', 0), ('sd8', 0), ('sd49', 1), ('sd31', 0), ('sd17', 1), ('sd36', 1), ('sd29', 1), ('sd2', 1), ('sd23', 1), ('sd24', 1)]"
27,G2.1.2,service27,"(0, True)","([0, 2], 0, False)","(0, True)","([2, 2], 0, True)","(1, True)","([1, 2], 0, False)","(2, True)","([2, 2], 1, False)","(0, False)","([0, 2], 0, True)","(1, True)","([0, 2], 0, False)","(1, True)","([1, 2], 0, False)","(0, False)","([0, 2], 1, True)","(0, True)","([1, 2], 0, False)","(2, False)","([2, 2], 1, False)","(0, False)","([1, 2], 0, True)","(0, True)","([1, 2], 0, False)","(1, True)","([1, 2], 1, False)","(1, False)","([0, 2], 0, True)","(0, True)","([0, 2], 0, True)","(2, False)","([0, 2], 1, True)","(0, True)","([2, 2], 0, False)","(2, False)","([0, 2], 0, True)","(2, False)","([1, 2], 0, False)","(2, True)","([0, 2], 1, True)","(0, False)","([2, 2], 0, True)","(2, False)","([2, 2], 0, True)","(0, True)","([2, 2], 0, False)","(0, True)","([2, 2], 0, True)","(2, False)","([0, 2], 0, False)","(0, True)","([2, 2], 1, True)","(1, False)","([0, 2], 1, False)","(0, True)","([0, 2], 0, False)","(1, True)","([0, 2], 1, False)","(0, False)","([0, 2], 1, True)","(0, True)","([0, 2], 1, True)","(1, False)","([1, 2], 0, False)","(2, True)","([1, 2], 0, True)","(0, False)","([0, 2], 0, False)","(1, True)","([0, 2], 0, True)","(1, False)","([0, 2], 1, True)","(1, False)","([2, 2], 1, True)","(0, True)","([0, 2], 1, False)","(2, True)","([0, 2], 0, False)","(0, False)","([0, 2], 0, False)","(0, True)","([2, 2], 0, True)","(0, True)","([0, 2], 1, True)","(2, False)","([0, 2], 1, True)","(0, True)","([2, 2], 1, False)","(2, False)","([2, 2], 0, True)","(0, False)","([1, 2], 1, True)","(1, True)","([2, 2], 0, False)","(0, False)","([0, 2], 0, False)","(0, True)","([0, 2], 0, False)","(2, True)","([1, 2], 0, True)","[0.6, 0.9]",[]
28,G2.1.2,service28,"(1, True)","([1, 2], 1, False)","(0, True)","([2, 2], 0, False)","(0, False)","([2, 2], 0, True)","(2, False)","([1, 2], 1, False)","(0, False)","([1, 2], 1, False)","(1, False)","([0, 2], 0, False)","(1, True)","([0, 2], 1, False)","(0, True)","([2, 2], 0, False)","(0, False)","([0, 2], 1, True)","(2, False)","([2, 2], 0, True)","(0, True)","([1, 2], 1, True)","(2, True)","([0, 2], 1, True)","(0, False)","([0, 2], 0, True)","(0, False)","([0, 2], 1, True)","(1, False)","([0, 2], 0, True)","(0, True)","([2, 2], 0, False)","(2, False)","([2, 2], 1, False)","(1, False)","([2, 2], 0, False)","(0, False)","([2, 2], 0, False)","(0, True)","([0, 2], 0, False)","(2, True)","([1, 2], 1, False)","(2, True)","([0, 2], 0, False)","(0, False)","([0, 2], 1, True)","(2, True)","([2, 2], 1, True)","(1, True)","([2, 2], 0, True)","(1, False)","([2, 2], 0, True)","(0, False)","([0, 2], 1, False)","(1, False)","([0, 2], 0, False)","(0, False)","([0, 2], 1, False)","(0, False)","([0, 2], 0, True)","(0, False)","([2, 2], 0, False)","(0, True)","([1, 2], 1, True)","(2, False)","([0, 2], 1, True)","(1, True)","([0, 2], 0, True)","(1, True)","([0, 2], 0, True)","(0, False)","([0, 2], 0, True)","(0, True)","([2, 2], 1, True)","(2, True)","([0, 2], 1, True)","(2, False)","([2, 2], 0, False)","(2, False)","([1, 2], 0, False)","(0, True)","([2, 2], 1, True)","(0, False)","([1, 2], 1, True)","(0, False)","([2, 2], 0, False)","(2, True)","([2, 2], 0, True)","(0, False)","([2, 2], 1, True)","(0, True)","([0, 2], 0, True)","(0, False)","([1, 2], 0, True)","(2, True)","([0, 2], 0, True)","(0, True)","([2, 2], 0, False)","(0, True)","([2, 2], 1, False)","[0.3, 0.6]","[('sd22', 1), ('sd26', 1), ('sd23', 1), ('sd43', 1), ('sd3', 1), ('sd27', 2), ('sd46', 1), ('sd49', 1), ('sd39', 1), ('sd17', 2), ('sd34', 2), ('sd32', 1), ('sd36', 1), ('sd33', 0), ('sd7', 1), ('sd40', 1), ('sd42', 1), ('sd5', 2), ('sd18', 1), ('sd29', 1)]"
29,G2.1.2,service29,"(0, True)","([2, 2], 1, False)","(0, True)","([2, 2], 0, True)","(0, True)","([1, 2], 0, False)","(1, True)","([2, 2], 0, False)","(0, True)","([0, 2], 1, False)","(1, True)","([2, 2], 0, False)","(0, True)","([0, 2], 0, True)","(2, False)","([2, 2], 0, True)","(0, False)","([1, 2], 1, False)","(0, False)","([0, 2], 1, True)","(1, False)","([0, 2], 1, False)","(2, True)","([0, 2], 1, True)","(0, False)","([2, 2], 0, True)","(1, True)","([1, 2], 1, False)","(0, False)","([0, 2], 1, False)","(2, True)","([2, 2], 0, True)","(0, True)","([0, 2], 1, True)","(0, True)","([2, 2], 0, False)","(0, False)","([1, 2], 1, False)","(0, True)","([2, 2], 1, True)","(0, False)","([0, 2], 1, True)","(1, True)","([1, 2], 0, True)","(0, False)","([2, 2], 0, False)","(0, True)","([1, 2], 0, True)","(0, False)","([0, 2], 1, False)","(0, False)","([1, 2], 0, True)","(2, True)","([2, 2], 0, False)","(0, True)","([1, 2], 0, True)","(0, False)","([2, 2], 1, True)","(0, True)","([1, 2], 0, False)","(0, True)","([2, 2], 1, True)","(0, False)","([1, 2], 1, True)","(0, True)","([2, 2], 1, True)","(0, False)","([1, 2], 0, False)","(0, True)","([2, 2], 1, False)","(0, True)","([1, 2], 0, False)","(0, False)","([1, 2], 1, False)","(1, True)","([0, 2], 1, False)","(0, False)","([0, 2], 0, True)","(0, False)","([1, 2], 0, True)","(2, False)","([2, 2], 1, True)","(2, False)","([1, 2], 0, True)","(1, False)","([0, 2], 0, False)","(2, False)","([1, 2], 0, True)","(0, False)","([2, 2], 0, False)","(2, True)","([1, 2], 1, False)","(1, False)","([2, 2], 1, False)","(1, True)","([1, 2], 1, True)","(0, True)","([2, 2], 1, False)","(0, False)","([0, 2], 1, True)","[0.6, 0.9]",[]
30,G2.1.2,service30,"(1, False)","([2, 2], 1, False)","(0, False)","([1, 2], 0, True)","(2, True)","([2, 2], 0, False)","(0, False)","([2, 2], 0, True)","(2, False)","([2, 2], 1, True)","(0, True)","([1, 2], 1, False)","(0, False)","([0, 2], 1, False)","(0, False)","([2, 2], 1, True)","(2, True)","([2, 2], 0, True)","(1, True)","([0, 2], 1, False)","(0, False)","([0, 2], 0, False)","(2, False)","([1, 2], 0, False)","(0, True)","([0, 2], 0, False)","(2, False)","([2, 2], 0, False)","(2, True)","([2, 2], 0, True)","(0, False)","([1, 2], 1, True)","(2, True)","([1, 2], 1, True)","(2, False)","([0, 2], 1, True)","(1, False)","([0, 2], 1, True)","(0, True)","([1, 2], 0, True)","(1, False)","([2, 2], 1, False)","(0, True)","([2, 2], 1, False)","(1, True)","([1, 2], 1, False)","(2, True)","([0, 2], 0, True)","(0, False)","([1, 2], 0, False)","(0, True)","([1, 2], 1, False)","(0, True)","([2, 2], 0, False)","(2, True)","([2, 2], 1, True)","(2, False)","([0, 2], 1, False)","(0, False)","([2, 2], 1, False)","(0, False)","([2, 2], 1, True)","(0, True)","([2, 2], 0, False)","(1, True)","([0, 2], 0, True)","(0, True)","([1, 2], 1, True)","(0, False)","([1, 2], 0, False)","(1, False)","([0, 2], 1, False)","(0, True)","([1, 2], 1, False)","(0, False)","([2, 2], 1, False)","(2, True)","([0, 2], 1, False)","(2, True)","([1, 2], 0, True)","(1, True)","([0, 2], 1, True)","(2, True)","([1, 2], 1, True)","(1, False)","([2, 2], 0, True)","(2, True)","([2, 2], 1, False)","(1, True)","([0, 2], 0, True)","(0, False)","([0, 2], 1, False)","(0, False)","([1, 2], 1, True)","(2, False)","([1, 2], 0, False)","(0, True)","([1, 2], 0, False)","(0, True)","([0, 2], 1, True)","[0.6, 0.9]",[]
31,G2.1.2,service31,"(1, False)","([1, 2], 1, False)","(2, False)","([1, 2], 0, False)","(2, True)","([0, 2], 1, False)","(0, False)","([2, 2], 1, True)","(2, False)","([0, 2], 0, True)","(0, False)","([0, 2], 0, True)","(2, False)","([1, 2], 0, False)","(2, True)","([0, 2], 1, True)","(0, False)","([1, 2], 1, False)","(2, True)","([1, 2], 0, True)","(0, True)","([1, 2], 0, False)","(1, False)","([2, 2], 1, False)","(2, True)","([1, 2], 1, False)","(0, True)","([0, 2], 1, False)","(0, True)","([2, 2], 1, False)","(2, True)","([1, 2], 1, True)","(0, True)","([0, 2], 0, True)","(0, False)","([2, 2], 0, True)","(0, False)","([0, 2], 1, True)","(2, True)","([0, 2], 1, True)","(2, True)","([1, 2], 1, True)","(1, False)","([0, 2], 1, False)","(0, False)","([1, 2], 0, True)","(2, True)","([2, 2], 1, True)","(0, False)","([0, 2], 0, False)","(1, True)","([2, 2], 1, False)","(2, True)","([1, 2], 1, False)","(2, False)","([0, 2], 0, False)","(2, True)","([0, 2], 0, False)","(0, True)","([1, 2], 1, False)","(0, True)","([1, 2], 1, False)","(0, False)","([2, 2], 0, True)","(0, False)","([1, 2], 1, True)","(0, False)","([1, 2], 1, False)","(2, False)","([2, 2], 0, True)","(2, True)","([1, 2], 1, True)","(0, True)","([2, 2], 0, False)","(0, True)","([0, 2], 1, False)","(2, True)","([0, 2], 1, False)","(2, True)","([1, 2], 0, True)","(0, False)","([0, 2], 1, False)","(2, True)","([0, 2], 1, True)","(0, True)","([1, 2], 0, False)","(0, False)","([2, 2], 0, False)","(1, True)","([0, 2], 0, True)","(0, False)","([2, 2], 0, False)","(0, False)","([0, 2], 1, False)","(1, True)","([2, 2], 0, True)","(0, True)","([2, 2], 1, False)","(1, False)","([2, 2], 0, False)","[0.6, 0.9]",[]
32,G2.1.2,service32,"(0, True)","([0, 2], 1, True)","(2, False)","([2, 2], 1, True)","(0, True)","([1, 2], 1, True)","(1, False)","([2, 2], 1, True)","(0, False)","([1, 2], 1, True)","(0, False)","([2, 2], 1, True)","(1, True)","([0, 2], 0, False)","(0, True)","([1, 2], 0, False)","(0, False)","([2, 2], 0, False)","(2, False)","([0, 2], 1, False)","(0, False)","([2, 2], 1, True)","(2, False)","([0, 2], 1, False)","(1, False)","([2, 2], 0, True)","(2, True)","([0, 2], 1, False)","(1, True)","([1, 2], 1, False)","(0, True)","([2, 2], 1, False)","(1, False)","([0, 2], 0, False)","(0, True)","([2, 2], 1, True)","(0, False)","([1, 2], 1, True)","(2, True)","([2, 2], 1, False)","(1, False)","([2, 2], 1, True)","(2, False)","([1, 2], 0, True)","(1, True)","([1, 2], 1, True)","(0, False)","([2, 2], 0, False)","(0, True)","([0, 2], 1, True)","(0, False)","([1, 2], 0, False)","(0, False)","([2, 2], 1, True)","(2, True)","([1, 2], 1, False)","(1, False)","([0, 2], 1, True)","(2, True)","([2, 2], 1, True)","(0, True)","([1, 2], 1, False)","(0, False)","([2, 2], 0, True)","(0, True)","([1, 2], 1, True)","(2, False)","([2, 2], 0, True)","(1, True)","([1, 2], 0, True)","(0, False)","([0, 2], 1, True)","(0, False)","([0, 2], 1, True)","(1, False)","([2, 2], 0, True)","(0, False)","([1, 2], 1, False)","(1, True)","([2, 2], 1, False)","(1, True)","([0, 2], 0, True)","(0, False)","([1, 2], 1, True)","(1, False)","([1, 2], 1, False)","(1, False)","([1, 2], 0, True)","(2, True)","([0, 2], 0, True)","(1, False)","([0, 2], 0, True)","(0, True)","([0, 2], 1, True)","(0, False)","([2, 2], 1, False)","(2, False)","([2, 2], 0, False)","(0, True)","([1, 2], 1, True)","[0.3, 0.6]",[]
33,G2.1.2,service33,"(2, False)","([1, 2], 1, False)","(0, True)","([1, 2], 1, False)","(1, False)","([0, 2], 1, True)","(1, False)","([2, 2], 0, True)","(1, True)","([2, 2], 1, True)","(0, True)","([0, 2], 0, True)","(2, True)","([2, 2], 1, False)","(1, True)","([2, 2], 0, False)","(0, False)","([2, 2], 1, True)","(0, True)","([1, 2], 1, False)","(2, False)","([0, 2], 1, True)","(0, False)","([1, 2], 0, False)","(2, False)","([1, 2], 0, False)","(2, True)","([1, 2], 1, True)","(1, False)","([0, 2], 0, False)","(1, False)","([0, 2], 1, True)","(2, True)","([0, 2], 1, False)","(2, True)","([1, 2], 0, False)","(0, False)","([0, 2], 0, True)","(0, False)","([2, 2], 1, False)","(2, False)","([0, 2], 0, False)","(1, True)","([2, 2], 1, True)","(2, True)","([1, 2], 0, True)","(2, False)","([1, 2], 0, True)","(2, True)","([2, 2], 0, True)","(0, False)","([2, 2], 1, False)","(2, False)","([0, 2], 1, True)","(2, False)","([0, 2], 1, True)","(1, True)","([2, 2], 0, False)","(0, False)","([1, 2], 0, False)","(0, True)","([2, 2], 0, True)","(0, False)","([2, 2], 0, True)","(0, False)","([0, 2], 1, True)","(0, False)","([2, 2], 1, False)","(0, False)","([2, 2], 0, True)","(1, False)","([2, 2], 1, False)","(0, True)","([0, 2], 1, True)","(0, True)","([1, 2], 1, False)","(2, True)","([1, 2], 1, False)","(2, False)","([0, 2], 1, True)","(0, True)","([0, 2], 0, False)","(0, False)","([0, 2], 0, False)","(1, False)","([0, 2], 1, True)","(0, True)","([2, 2], 1, True)","(0, False)","([1, 2], 0, True)","(2, True)","([1, 2], 0, False)","(1, False)","([2, 2], 1, True)","(1, False)","([2, 2], 1, True)","(0, False)","([0, 2], 0, False)","(0, True)","([2, 2], 1, True)","[0.3, 0.6]","[('sd39', 1), ('sd4', 0), ('sd46', 2), ('sd0', 1), ('sd10', 1), ('sd28', 2), ('sd7', 2), ('sd34', 1), ('sd45', 1), ('sd22', 1), ('sd6', 1), ('sd18', 1), ('sd33', 1), ('sd12', 1), ('sd26', 1), ('sd25', 1), ('sd47', 0), ('sd15', 0), ('sd14', 2), ('sd17', 1), ('sd3', 0), ('sd5', 1), ('sd40', 1), ('sd48', 1), ('sd2', 0), ('sd21', 0)]"
34,G2.1.2,service34,"(0, False)","([0, 2], 1, False)","(0, False)","([2, 2], 0, True)","(1, True)","([2, 2], 0, True)","(1, False)","([2, 2], 0, False)","(1, True)","([0, 2], 1, True)","(0, True)","([1, 2], 1, False)","(2, False)","([2, 2], 0, False)","(0, False)","([2, 2], 0, True)","(2, True)","([0, 2], 0, False)","(1, False)","([2, 2], 0, False)","(1, False)","([1, 2], 0, False)","(0, True)","([1, 2], 1, True)","(0, True)","([2, 2], 0, True)","(1, True)","([2, 2], 1, False)","(0, True)","([2, 2], 1, True)","(0, True)","([1, 2], 1, True)","(1, True)","([1, 2], 1, False)","(1, False)","([2, 2], 1, False)","(2, False)","([0, 2], 0, False)","(1, True)","([0, 2], 0, False)","(1, False)","([0, 2], 0, False)","(1, True)","([2, 2], 0, True)","(0, True)","([1, 2], 0, False)","(0, True)","([0, 2], 1, True)","(0, True)","([2, 2], 1, False)","(0, True)","([1, 2], 1, True)","(1, True)","([2, 2], 1, False)","(0, False)","([2, 2], 0, True)","(0, False)","([0, 2], 0, True)","(1, True)","([2, 2], 1, True)","(1, True)","([0, 2], 1, True)","(0, True)","([2, 2], 1, True)","(2, True)","([1, 2], 0, True)","(2, True)","([2, 2], 1, False)","(0, False)","([2, 2], 1, True)","(2, False)","([0, 2], 1, False)","(0, True)","([2, 2], 1, True)","(2, False)","([2, 2], 0, False)","(0, True)","([2, 2], 0, True)","(0, False)","([1, 2], 0, True)","(2, False)","([1, 2], 1, True)","(0, True)","([0, 2], 0, False)","(0, False)","([1, 2], 1, True)","(0, False)","([0, 2], 0, False)","(0, False)","([0, 2], 0, True)","(2, True)","([1, 2], 0, False)","(2, True)","([1, 2], 1, False)","(2, True)","([0, 2], 0, True)","(1, False)","([2, 2], 1, False)","(0, False)","([1, 2], 1, True)","[0.6, 0.9]",[]
35,G2.1.2,service35,"(1, True)","([0, 2], 0, False)","(0, False)","([1, 2], 0, True)","(1, True)","([0, 2], 1, False)","(2, True)","([1, 2], 0, True)","(2, False)","([2, 2], 0, True)","(1, True)","([2, 2], 0, False)","(0, True)","([2, 2], 0, False)","(2, False)","([2, 2], 0, False)","(0, False)","([0, 2], 1, False)","(1, True)","([1, 2], 0, True)","(2, False)","([2, 2], 1, True)","(0, True)","([0, 2], 1, False)","(0, True)","([0, 2], 1, True)","(1, False)","([1, 2], 1, True)","(2, False)","([2, 2], 0, False)","(2, False)","([2, 2], 0, True)","(2, False)","([2, 2], 0, True)","(1, False)","([1, 2], 0, False)","(0, True)","([2, 2], 1, True)","(0, False)","([2, 2], 0, False)","(0, False)","([2, 2], 0, False)","(0, False)","([2, 2], 0, True)","(0, True)","([0, 2], 1, False)","(2, True)","([2, 2], 1, False)","(1, False)","([2, 2], 0, False)","(1, False)","([1, 2], 0, False)","(1, False)","([1, 2], 1, False)","(2, False)","([1, 2], 1, True)","(0, False)","([0, 2], 1, False)","(0, False)","([2, 2], 1, False)","(1, True)","([1, 2], 0, True)","(2, False)","([2, 2], 0, False)","(0, False)","([1, 2], 1, False)","(0, False)","([0, 2], 1, False)","(1, True)","([2, 2], 0, False)","(0, False)","([0, 2], 0, True)","(1, True)","([1, 2], 1, False)","(1, False)","([2, 2], 1, True)","(1, True)","([2, 2], 1, True)","(2, True)","([0, 2], 0, False)","(1, False)","([0, 2], 1, True)","(0, True)","([0, 2], 0, True)","(0, False)","([1, 2], 1, False)","(0, True)","([0, 2], 1, True)","(0, True)","([0, 2], 1, False)","(2, False)","([0, 2], 1, False)","(0, False)","([1, 2], 0, False)","(1, True)","([0, 2], 1, False)","(0, True)","([2, 2], 0, True)","(0, True)","([0, 2], 0, False)","[0.6, 0.9]",[]
36,G2.1.2,service36,"(0, False)","([0, 2], 1, True)","(1, True)","([0, 2], 0, True)","(0, True)","([0, 2], 1, False)","(0, False)","([0, 2], 1, True)","(2, False)","([0, 2], 1, True)","(1, False)","([0, 2], 1, False)","(1, True)","([1, 2], 1, False)","(2, True)","([2, 2], 0, False)","(2, False)","([0, 2], 0, False)","(0, True)","([0, 2], 0, True)","(0, False)","([2, 2], 1, True)","(2, False)","([2, 2], 0, True)","(1, False)","([2, 2], 0, True)","(1, True)","([2, 2], 0, True)","(0, True)","([2, 2], 1, False)","(0, False)","([1, 2], 1, True)","(1, True)","([2, 2], 0, False)","(0, False)","([2, 2], 0, True)","(1, True)","([1, 2], 1, True)","(2, True)","([0, 2], 1, False)","(1, False)","([0, 2], 1, False)","(1, False)","([1, 2], 0, False)","(1, False)","([1, 2], 1, True)","(0, True)","([2, 2], 0, True)","(1, False)","([0, 2], 1, False)","(1, True)","([2, 2], 1, False)","(1, True)","([1, 2], 1, True)","(2, False)","([0, 2], 0, True)","(2, True)","([1, 2], 0, False)","(1, True)","([2, 2], 1, False)","(0, True)","([2, 2], 0, True)","(2, False)","([1, 2], 0, False)","(1, True)","([1, 2], 0, True)","(1, False)","([2, 2], 1, False)","(1, True)","([2, 2], 0, False)","(1, False)","([2, 2], 0, True)","(0, False)","([1, 2], 0, False)","(0, True)","([1, 2], 0, True)","(2, True)","([2, 2], 0, False)","(0, False)","([2, 2], 1, True)","(0, True)","([1, 2], 0, True)","(0, False)","([2, 2], 1, True)","(1, True)","([0, 2], 0, True)","(0, True)","([1, 2], 0, False)","(2, False)","([2, 2], 1, True)","(0, False)","([2, 2], 1, True)","(0, False)","([1, 2], 1, False)","(1, True)","([1, 2], 1, False)","(0, False)","([2, 2], 1, False)","(2, False)","([2, 2], 0, True)","[0.6, 0.9]",[]
37,G2.1.2,service37,"(0, True)","([1, 2], 0, True)","(2, True)","([2, 2], 0, False)","(0, True)","([2, 2], 1, False)","(1, True)","([2, 2], 0, True)","(0, True)","([0, 2], 0, False)","(0, True)","([1, 2], 1, False)","(2, True)","([2, 2], 1, True)","(0, False)","([0, 2], 0, False)","(0, True)","([2, 2], 0, True)","(1, True)","([1, 2], 1, False)","(0, False)","([2, 2], 1, False)","(1, False)","([1, 2], 0, False)","(1, False)","([2, 2], 0, True)","(2, True)","([2, 2], 1, True)","(1, False)","([1, 2], 1, False)","(1, False)","([0, 2], 1, False)","(1, False)","([2, 2], 0, True)","(0, True)","([0, 2], 0, False)","(2, True)","([2, 2], 0, False)","(0, False)","([2, 2], 1, False)","(1, True)","([2, 2], 1, False)","(0, True)","([2, 2], 0, True)","(0, True)","([2, 2], 0, True)","(1, True)","([2, 2], 1, True)","(0, True)","([2, 2], 0, True)","(0, True)","([0, 2], 1, True)","(0, False)","([2, 2], 1, True)","(0, False)","([2, 2], 0, False)","(0, True)","([1, 2], 1, False)","(0, False)","([1, 2], 1, True)","(0, False)","([2, 2], 1, False)","(1, False)","([2, 2], 1, True)","(2, True)","([1, 2], 0, True)","(2, False)","([0, 2], 1, False)","(0, False)","([1, 2], 0, False)","(0, False)","([2, 2], 1, True)","(2, False)","([2, 2], 1, True)","(1, False)","([1, 2], 1, False)","(0, False)","([0, 2], 1, True)","(2, False)","([1, 2], 1, True)","(0, True)","([1, 2], 0, False)","(0, False)","([1, 2], 1, False)","(1, True)","([1, 2], 0, True)","(0, True)","([2, 2], 1, True)","(0, True)","([2, 2], 0, False)","(1, False)","([0, 2], 0, True)","(2, True)","([0, 2], 1, False)","(1, True)","([1, 2], 0, False)","(0, True)","([2, 2], 0, True)","(2, True)","([1, 2], 0, True)","[0.6, 0.9]",[]
