service,setting,name,sd0,req0,sd1,req1,sd2,req2,sd3,req3,sd4,req4,sd5,req5,sd6,req6,sd7,req7,sd8,req8,sd9,req9,sd10,req10,sd11,req11,sd12,req12,sd13,req13,sd14,req14,sd15,req15,sd16,req16,sd17,req17,sd18,req18,sd19,req19,sd20,req20,sd21,req21,sd22,req22,sd23,req23,sd24,req24,sd25,req25,sd26,req26,sd27,req27,sd28,req28,sd29,req29,sd30,req30,sd31,req31,sd32,req32,sd33,req33,sd34,req34,sd35,req35,sd36,req36,sd37,req37,sd38,req38,sd39,req39,sd40,req40,sd41,req41,sd42,req42,sd43,req43,sd44,req44,sd45,req45,sd46,req46,sd47,req47,sd48,req48,sd49,req49,policy,change
38,G1.2.1,service38,"(1, True)","([2, 2], 0, True)","(2, True)","([2, 2], 0, False)","(2, True)","([1, 2], 0, True)","(1, True)","([0, 2], 1, False)","(0, False)","([1, 2], 0, False)","(0, False)","([0, 2], 1, True)","(1, False)","([0, 2], 0, False)","(2, True)","([0, 2], 0, True)","(0, True)","([2, 2], 0, True)","(2, False)","([0, 2], 1, False)","(2, True)","([2, 2], 0, True)","(0, False)","([0, 2], 0, True)","(0, False)","([0, 2], 1, True)","(2, True)","([0, 2], 1, True)","(0, True)","([2, 2], 0, False)","(1, False)","([1, 2], 0, True)","(1, False)","([2, 2], 1, True)","(1, False)","([0, 2], 1, False)","(0, False)","([0, 2], 0, True)","(1, True)","([1, 2], 1, False)","(1, True)","([0, 2], 0, False)","(2, False)","([2, 2], 0, True)","(0, True)","([0, 2], 0, True)","(2, False)","([1, 2], 0, False)","(1, False)","([1, 2], 0, False)","(1, True)","([0, 2], 1, False)","(2, True)","([2, 2], 0, True)","(2, False)","([0, 2], 0, True)","(0, False)","([2, 2], 1, True)","(2, True)","([0, 2], 1, False)","(0, True)","([0, 2], 1, False)","(0, True)","([2, 2], 0, False)","(1, True)","([0, 2], 0, False)","(1, True)","([1, 2], 1, False)","(0, False)","([0, 2], 0, True)","(2, False)","([0, 2], 0, True)","(1, True)","([0, 2], 0, False)","(2, True)","([2, 2], 1, True)","(1, True)","([0, 2], 0, True)","(1, False)","([0, 2], 0, True)","(1, False)","([0, 2], 0, False)","(1, True)","([0, 2], 0, False)","(1, False)","([2, 2], 0, False)","(2, False)","([0, 2], 0, True)","(1, False)","([2, 2], 0, False)","(2, False)","([2, 2], 0, True)","(1, True)","([0, 2], 0, False)","(1, True)","([0, 2], 1, True)","(2, False)","([0, 2], 1, False)","(0, False)","([2, 2], 1, False)","[0.3, 0.6]",[]
39,G1.2.1,service39,"(0, True)","([0, 2], 0, True)","(0, True)","([0, 2], 0, False)","(0, False)","([0, 2], 1, False)","(0, False)","([2, 2], 1, True)","(0, True)","([0, 2], 0, True)","(2, False)","([0, 2], 0, False)","(2, False)","([2, 2], 0, True)","(0, True)","([2, 2], 1, True)","(0, False)","([0, 2], 0, False)","(1, False)","([0, 2], 0, False)","(1, False)","([0, 2], 1, False)","(1, False)","([0, 2], 1, True)","(2, True)","([0, 2], 1, True)","(1, True)","([2, 2], 0, False)","(1, False)","([0, 2], 0, False)","(0, False)","([0, 2], 1, True)","(0, True)","([0, 2], 0, True)","(2, False)","([2, 2], 1, True)","(0, False)","([0, 2], 1, False)","(0, True)","([0, 2], 1, True)","(2, False)","([0, 2], 0, False)","(2, False)","([2, 2], 1, False)","(0, True)","([0, 2], 0, True)","(1, True)","([0, 2], 0, True)","(0, False)","([1, 2], 1, False)","(2, True)","([0, 2], 1, False)","(0, True)","([0, 2], 0, False)","(1, False)","([0, 2], 0, False)","(0, True)","([1, 2], 0, True)","(0, True)","([1, 2], 1, False)","(2, True)","([0, 2], 1, False)","(1, False)","([0, 2], 0, False)","(0, True)","([1, 2], 0, False)","(0, True)","([2, 2], 1, False)","(0, True)","([2, 2], 1, True)","(1, False)","([0, 2], 1, False)","(2, False)","([2, 2], 1, True)","(1, True)","([2, 2], 0, False)","(1, True)","([0, 2], 0, False)","(0, False)","([0, 2], 0, True)","(1, False)","([2, 2], 0, True)","(0, True)","([2, 2], 0, False)","(2, False)","([0, 2], 0, True)","(2, True)","([0, 2], 1, False)","(0, False)","([0, 2], 0, True)","(1, True)","([2, 2], 0, False)","(0, True)","([2, 2], 0, False)","(0, True)","([0, 2], 1, False)","(0, False)","([0, 2], 0, True)","(1, False)","([0, 2], 1, False)","[0.3, 0.6]",[]
40,G1.2.1,service40,"(1, True)","([0, 2], 0, False)","(1, False)","([0, 2], 0, False)","(0, True)","([2, 2], 0, False)","(2, True)","([0, 2], 0, False)","(2, True)","([1, 2], 1, False)","(1, True)","([0, 2], 1, True)","(2, True)","([0, 2], 0, True)","(0, True)","([2, 2], 1, True)","(2, False)","([0, 2], 0, False)","(0, False)","([1, 2], 1, True)","(1, False)","([2, 2], 1, False)","(2, False)","([2, 2], 0, False)","(1, False)","([1, 2], 1, True)","(0, False)","([0, 2], 0, False)","(1, True)","([0, 2], 0, False)","(1, True)","([0, 2], 0, True)","(0, False)","([0, 2], 0, True)","(0, True)","([0, 2], 1, False)","(1, True)","([2, 2], 0, False)","(0, False)","([2, 2], 0, True)","(2, False)","([0, 2], 0, True)","(2, True)","([0, 2], 0, True)","(1, True)","([0, 2], 0, True)","(0, False)","([0, 2], 0, True)","(2, True)","([0, 2], 0, False)","(2, False)","([0, 2], 0, True)","(1, False)","([0, 2], 1, True)","(0, True)","([0, 2], 0, False)","(0, True)","([0, 2], 0, False)","(1, True)","([0, 2], 0, True)","(1, True)","([1, 2], 0, False)","(2, False)","([2, 2], 0, True)","(0, True)","([1, 2], 0, False)","(0, True)","([0, 2], 0, False)","(0, True)","([0, 2], 0, True)","(1, False)","([0, 2], 0, False)","(2, False)","([2, 2], 1, False)","(2, True)","([0, 2], 0, True)","(2, False)","([0, 2], 0, False)","(2, False)","([1, 2], 0, False)","(0, False)","([2, 2], 1, True)","(1, False)","([0, 2], 0, True)","(1, False)","([0, 2], 1, True)","(0, True)","([0, 2], 0, False)","(1, True)","([0, 2], 1, True)","(1, False)","([0, 2], 0, False)","(1, False)","([0, 2], 0, False)","(0, False)","([0, 2], 1, False)","(0, False)","([0, 2], 1, True)","(0, True)","([0, 2], 0, False)","[0.6, 0.9]",[]
41,G1.2.1,service41,"(0, True)","([0, 2], 0, True)","(0, True)","([1, 2], 0, False)","(1, False)","([0, 2], 1, False)","(2, True)","([0, 2], 0, True)","(0, False)","([0, 2], 0, True)","(1, True)","([0, 2], 1, True)","(0, False)","([0, 2], 1, True)","(0, False)","([0, 2], 0, True)","(2, False)","([0, 2], 0, False)","(0, False)","([0, 2], 0, True)","(2, True)","([2, 2], 0, True)","(2, True)","([0, 2], 1, True)","(1, False)","([0, 2], 1, True)","(0, True)","([1, 2], 0, True)","(0, False)","([0, 2], 0, False)","(0, True)","([1, 2], 1, True)","(2, False)","([1, 2], 1, True)","(2, True)","([0, 2], 0, True)","(0, False)","([0, 2], 0, False)","(0, False)","([0, 2], 0, True)","(2, True)","([2, 2], 0, False)","(0, False)","([0, 2], 0, True)","(1, False)","([2, 2], 0, False)","(0, True)","([0, 2], 0, True)","(0, False)","([2, 2], 0, False)","(0, False)","([0, 2], 1, True)","(1, True)","([1, 2], 1, False)","(1, False)","([1, 2], 1, False)","(0, False)","([0, 2], 0, False)","(0, True)","([1, 2], 1, True)","(0, True)","([0, 2], 0, False)","(1, False)","([2, 2], 1, False)","(0, True)","([0, 2], 0, False)","(1, True)","([0, 2], 0, False)","(2, True)","([0, 2], 1, True)","(0, False)","([1, 2], 0, True)","(0, False)","([0, 2], 0, False)","(2, False)","([0, 2], 0, False)","(1, False)","([0, 2], 0, True)","(0, True)","([0, 2], 0, True)","(1, False)","([0, 2], 0, False)","(0, True)","([2, 2], 0, False)","(1, False)","([2, 2], 1, False)","(1, True)","([2, 2], 0, True)","(2, False)","([0, 2], 0, True)","(0, False)","([2, 2], 0, False)","(2, True)","([2, 2], 1, False)","(0, True)","([0, 2], 1, False)","(0, True)","([2, 2], 0, True)","(1, False)","([0, 2], 1, True)","[0.3, 0.6]",[]
42,G1.2.1,service42,"(2, False)","([2, 2], 0, False)","(0, False)","([0, 2], 1, True)","(1, True)","([0, 2], 0, True)","(1, False)","([0, 2], 0, False)","(1, True)","([0, 2], 0, True)","(1, True)","([0, 2], 1, False)","(2, False)","([0, 2], 0, False)","(2, True)","([0, 2], 1, True)","(2, False)","([0, 2], 1, True)","(1, True)","([1, 2], 0, True)","(1, False)","([0, 2], 1, False)","(0, False)","([2, 2], 0, True)","(0, True)","([0, 2], 1, False)","(2, False)","([1, 2], 1, True)","(1, True)","([2, 2], 0, True)","(2, False)","([0, 2], 1, False)","(0, True)","([0, 2], 1, False)","(2, True)","([0, 2], 0, True)","(2, False)","([2, 2], 0, True)","(2, False)","([0, 2], 0, True)","(0, True)","([2, 2], 0, False)","(2, False)","([0, 2], 1, True)","(0, True)","([0, 2], 1, True)","(2, True)","([2, 2], 0, False)","(2, False)","([0, 2], 1, True)","(2, False)","([0, 2], 0, True)","(1, False)","([2, 2], 0, False)","(1, False)","([1, 2], 1, False)","(2, True)","([1, 2], 1, False)","(2, False)","([1, 2], 0, False)","(0, True)","([2, 2], 0, False)","(0, True)","([0, 2], 0, True)","(1, False)","([0, 2], 1, True)","(0, True)","([0, 2], 0, False)","(0, False)","([2, 2], 0, False)","(2, False)","([1, 2], 0, False)","(2, True)","([0, 2], 0, True)","(2, True)","([1, 2], 1, False)","(0, False)","([1, 2], 1, False)","(2, False)","([1, 2], 0, True)","(1, True)","([1, 2], 0, False)","(2, True)","([1, 2], 0, False)","(0, True)","([2, 2], 0, False)","(2, False)","([2, 2], 0, False)","(0, True)","([0, 2], 1, False)","(1, True)","([0, 2], 0, True)","(1, False)","([0, 2], 0, True)","(2, False)","([0, 2], 1, False)","(1, False)","([0, 2], 0, True)","(1, True)","([2, 2], 0, False)","[0.6, 0.9]","[('sd7', 1), ('sd41', 1), ('sd32', 0), ('sd6', 1), ('sd22', 1), ('sd49', 2), ('sd40', 0), ('sd48', 0), ('sd37', 1), ('sd47', 1), ('sd19', 1), ('sd38', 1), ('sd46', 2)]"
43,G1.2.1,service43,"(0, True)","([1, 2], 0, True)","(0, True)","([0, 2], 0, True)","(2, True)","([0, 2], 0, False)","(1, True)","([0, 2], 0, True)","(2, False)","([1, 2], 1, True)","(1, False)","([2, 2], 0, False)","(0, True)","([0, 2], 0, False)","(0, True)","([0, 2], 0, True)","(1, True)","([0, 2], 0, False)","(1, False)","([1, 2], 1, True)","(1, False)","([0, 2], 0, False)","(0, False)","([2, 2], 0, True)","(2, True)","([0, 2], 0, False)","(0, True)","([2, 2], 0, True)","(2, False)","([0, 2], 0, True)","(0, True)","([2, 2], 0, True)","(1, False)","([2, 2], 0, False)","(2, True)","([2, 2], 1, True)","(1, True)","([1, 2], 0, True)","(0, True)","([0, 2], 0, False)","(0, False)","([0, 2], 1, False)","(1, True)","([0, 2], 0, True)","(0, True)","([0, 2], 0, False)","(0, True)","([2, 2], 0, True)","(1, True)","([0, 2], 0, True)","(1, True)","([1, 2], 0, True)","(2, True)","([0, 2], 0, True)","(0, False)","([0, 2], 0, False)","(0, False)","([0, 2], 1, False)","(2, False)","([0, 2], 1, True)","(0, True)","([1, 2], 0, True)","(0, True)","([2, 2], 0, True)","(2, True)","([0, 2], 0, True)","(0, True)","([2, 2], 0, False)","(1, True)","([0, 2], 0, True)","(2, True)","([0, 2], 1, True)","(2, False)","([1, 2], 0, False)","(2, True)","([0, 2], 0, True)","(0, False)","([2, 2], 0, False)","(1, True)","([1, 2], 1, False)","(2, True)","([0, 2], 0, False)","(2, False)","([1, 2], 0, True)","(1, True)","([2, 2], 0, False)","(2, True)","([0, 2], 1, False)","(1, True)","([0, 2], 1, False)","(2, False)","([0, 2], 0, True)","(0, True)","([1, 2], 0, False)","(1, True)","([0, 2], 0, False)","(2, True)","([0, 2], 0, True)","(0, False)","([2, 2], 1, False)","[0.6, 0.9]","[('sd47', 0), ('sd5', 2), ('sd18', 0), ('sd19', 1), ('sd9', 0), ('sd43', 1)]"
44,G1.2.1,service44,"(0, True)","([0, 2], 1, True)","(1, True)","([2, 2], 0, True)","(2, False)","([0, 2], 0, False)","(0, True)","([2, 2], 0, True)","(2, False)","([0, 2], 0, True)","(2, False)","([0, 2], 0, True)","(2, True)","([0, 2], 1, False)","(0, False)","([0, 2], 0, True)","(2, False)","([0, 2], 0, True)","(0, False)","([0, 2], 0, False)","(0, False)","([0, 2], 0, True)","(0, True)","([2, 2], 0, False)","(1, False)","([0, 2], 0, False)","(2, True)","([0, 2], 0, False)","(2, True)","([0, 2], 0, False)","(1, False)","([0, 2], 1, True)","(2, True)","([1, 2], 0, False)","(1, True)","([0, 2], 0, True)","(1, True)","([2, 2], 0, True)","(2, True)","([0, 2], 0, False)","(0, False)","([0, 2], 0, False)","(0, True)","([0, 2], 0, False)","(2, False)","([2, 2], 0, True)","(0, True)","([2, 2], 0, False)","(1, False)","([0, 2], 0, False)","(1, True)","([2, 2], 1, True)","(0, False)","([0, 2], 0, False)","(2, True)","([1, 2], 1, True)","(2, False)","([0, 2], 0, True)","(2, False)","([0, 2], 0, False)","(0, True)","([0, 2], 0, False)","(0, False)","([0, 2], 0, False)","(2, False)","([0, 2], 0, False)","(2, True)","([0, 2], 0, True)","(0, False)","([0, 2], 1, False)","(0, True)","([1, 2], 0, True)","(2, True)","([0, 2], 0, False)","(2, False)","([1, 2], 0, True)","(0, False)","([2, 2], 0, False)","(2, True)","([0, 2], 1, True)","(2, False)","([1, 2], 0, False)","(2, False)","([0, 2], 1, True)","(1, False)","([0, 2], 1, True)","(2, True)","([1, 2], 0, False)","(0, True)","([1, 2], 0, True)","(2, False)","([0, 2], 1, False)","(1, True)","([0, 2], 0, True)","(0, True)","([0, 2], 1, True)","(1, False)","([2, 2], 0, True)","(2, True)","([0, 2], 0, False)","[0.3, 0.6]",[]
45,G1.2.1,service45,"(0, False)","([0, 2], 0, True)","(1, False)","([0, 2], 0, False)","(2, True)","([0, 2], 0, True)","(0, False)","([1, 2], 0, True)","(1, True)","([0, 2], 1, False)","(0, True)","([1, 2], 0, True)","(2, False)","([0, 2], 0, True)","(0, True)","([0, 2], 0, True)","(2, True)","([2, 2], 1, False)","(0, False)","([0, 2], 1, False)","(2, False)","([2, 2], 0, False)","(1, True)","([1, 2], 0, False)","(2, True)","([2, 2], 0, False)","(0, False)","([0, 2], 0, False)","(1, True)","([0, 2], 1, False)","(2, False)","([1, 2], 0, False)","(0, False)","([1, 2], 0, True)","(1, True)","([0, 2], 0, False)","(2, False)","([0, 2], 0, True)","(2, True)","([0, 2], 0, False)","(2, True)","([0, 2], 0, False)","(2, True)","([2, 2], 1, True)","(1, True)","([1, 2], 0, True)","(1, False)","([0, 2], 0, False)","(0, True)","([2, 2], 0, False)","(2, False)","([0, 2], 1, False)","(2, True)","([0, 2], 0, False)","(1, False)","([0, 2], 1, True)","(1, False)","([0, 2], 0, False)","(1, False)","([0, 2], 1, True)","(0, False)","([0, 2], 0, True)","(1, False)","([0, 2], 0, False)","(2, False)","([2, 2], 1, False)","(2, False)","([0, 2], 1, False)","(0, True)","([0, 2], 0, True)","(2, False)","([1, 2], 0, True)","(0, True)","([0, 2], 1, True)","(0, True)","([0, 2], 0, False)","(0, False)","([2, 2], 1, False)","(2, False)","([0, 2], 1, True)","(0, False)","([0, 2], 1, True)","(2, True)","([0, 2], 0, True)","(1, True)","([0, 2], 0, True)","(0, False)","([0, 2], 1, True)","(0, False)","([0, 2], 1, False)","(1, False)","([0, 2], 0, False)","(1, False)","([2, 2], 0, True)","(1, False)","([2, 2], 0, False)","(1, True)","([0, 2], 1, False)","(2, False)","([2, 2], 1, False)","[0.6, 0.9]","[('sd14', 0), ('sd11', 2), ('sd48', 0), ('sd36', 1), ('sd39', 1), ('sd46', 0), ('sd42', 0), ('sd19', 1)]"
46,G1.2.1,service46,"(1, True)","([2, 2], 0, True)","(0, True)","([1, 2], 0, False)","(1, True)","([0, 2], 0, False)","(1, True)","([1, 2], 1, True)","(1, False)","([0, 2], 0, False)","(0, False)","([0, 2], 0, True)","(0, False)","([0, 2], 1, False)","(0, False)","([0, 2], 0, False)","(1, True)","([2, 2], 0, False)","(0, False)","([2, 2], 0, False)","(2, False)","([0, 2], 0, False)","(0, False)","([2, 2], 0, True)","(2, False)","([0, 2], 0, True)","(2, True)","([0, 2], 0, True)","(2, False)","([2, 2], 0, False)","(2, True)","([0, 2], 0, False)","(0, True)","([0, 2], 0, True)","(0, True)","([0, 2], 0, True)","(0, False)","([1, 2], 0, True)","(2, True)","([2, 2], 0, True)","(2, False)","([1, 2], 0, True)","(0, True)","([0, 2], 0, True)","(0, False)","([2, 2], 0, False)","(2, False)","([0, 2], 0, False)","(0, True)","([0, 2], 0, False)","(0, False)","([0, 2], 0, True)","(1, False)","([2, 2], 0, False)","(2, True)","([0, 2], 0, False)","(1, False)","([0, 2], 0, False)","(0, False)","([0, 2], 1, False)","(2, False)","([0, 2], 1, True)","(2, False)","([0, 2], 0, True)","(2, True)","([0, 2], 0, False)","(1, False)","([1, 2], 1, False)","(2, False)","([1, 2], 1, True)","(2, True)","([0, 2], 1, True)","(2, False)","([0, 2], 1, True)","(1, False)","([0, 2], 0, False)","(0, True)","([0, 2], 0, True)","(1, False)","([2, 2], 1, False)","(2, True)","([2, 2], 1, True)","(2, True)","([2, 2], 0, True)","(2, False)","([1, 2], 0, False)","(2, False)","([0, 2], 1, True)","(1, False)","([0, 2], 1, True)","(1, True)","([0, 2], 0, True)","(1, False)","([0, 2], 0, False)","(0, False)","([1, 2], 0, False)","(0, True)","([1, 2], 0, True)","(2, True)","([0, 2], 0, False)","[0.3, 0.6]",[]
47,G1.2.1,service47,"(0, False)","([0, 2], 0, False)","(2, False)","([0, 2], 1, False)","(0, False)","([0, 2], 1, False)","(2, False)","([0, 2], 0, False)","(0, True)","([1, 2], 1, False)","(1, True)","([1, 2], 1, True)","(0, False)","([0, 2], 0, True)","(2, True)","([0, 2], 0, False)","(1, True)","([1, 2], 0, True)","(2, True)","([0, 2], 0, False)","(1, False)","([0, 2], 1, True)","(1, True)","([0, 2], 1, True)","(1, True)","([0, 2], 0, True)","(2, True)","([0, 2], 0, False)","(0, False)","([0, 2], 0, True)","(0, True)","([0, 2], 0, True)","(0, True)","([0, 2], 0, True)","(0, False)","([2, 2], 0, False)","(2, True)","([1, 2], 0, True)","(2, False)","([0, 2], 0, False)","(2, True)","([0, 2], 0, True)","(2, True)","([1, 2], 0, True)","(2, False)","([2, 2], 1, False)","(2, True)","([0, 2], 1, True)","(0, True)","([0, 2], 0, False)","(1, True)","([0, 2], 1, False)","(1, False)","([0, 2], 0, False)","(2, True)","([0, 2], 0, False)","(2, False)","([0, 2], 0, True)","(1, False)","([0, 2], 0, True)","(1, True)","([0, 2], 0, True)","(0, False)","([1, 2], 1, False)","(1, True)","([2, 2], 1, False)","(2, True)","([0, 2], 0, False)","(1, False)","([0, 2], 0, False)","(1, True)","([0, 2], 1, False)","(1, False)","([2, 2], 0, True)","(1, True)","([0, 2], 1, False)","(0, False)","([0, 2], 0, True)","(2, False)","([0, 2], 0, False)","(1, False)","([0, 2], 0, False)","(2, False)","([0, 2], 1, False)","(2, True)","([0, 2], 1, False)","(1, True)","([0, 2], 0, True)","(2, True)","([0, 2], 0, False)","(1, True)","([2, 2], 1, True)","(1, False)","([2, 2], 0, True)","(0, False)","([0, 2], 0, True)","(0, False)","([0, 2], 0, False)","(0, False)","([0, 2], 1, True)","[0.3, 0.6]",[]
48,G1.2.1,service48,"(0, False)","([2, 2], 0, False)","(2, True)","([2, 2], 0, True)","(1, True)","([0, 2], 1, False)","(2, True)","([1, 2], 0, False)","(2, False)","([0, 2], 0, True)","(1, False)","([1, 2], 1, False)","(2, True)","([2, 2], 0, True)","(1, True)","([0, 2], 0, True)","(0, False)","([1, 2], 0, True)","(0, True)","([0, 2], 1, False)","(2, True)","([1, 2], 1, True)","(0, False)","([2, 2], 0, False)","(2, True)","([0, 2], 0, False)","(1, False)","([0, 2], 0, True)","(0, True)","([0, 2], 1, True)","(0, True)","([0, 2], 0, False)","(1, False)","([0, 2], 0, True)","(1, False)","([2, 2], 0, False)","(0, False)","([0, 2], 0, False)","(1, False)","([2, 2], 1, False)","(0, True)","([2, 2], 1, True)","(0, False)","([2, 2], 0, True)","(2, True)","([0, 2], 0, False)","(2, False)","([0, 2], 1, True)","(1, False)","([0, 2], 0, False)","(0, True)","([0, 2], 1, False)","(2, False)","([0, 2], 0, False)","(0, True)","([0, 2], 0, False)","(1, True)","([0, 2], 0, False)","(2, True)","([1, 2], 1, False)","(0, False)","([1, 2], 1, True)","(0, True)","([2, 2], 1, False)","(1, False)","([1, 2], 0, False)","(1, True)","([1, 2], 0, False)","(2, False)","([0, 2], 1, False)","(1, False)","([1, 2], 1, True)","(2, True)","([1, 2], 0, True)","(1, False)","([1, 2], 0, True)","(0, False)","([0, 2], 1, True)","(1, False)","([0, 2], 0, True)","(2, False)","([0, 2], 0, False)","(0, True)","([0, 2], 0, True)","(1, True)","([0, 2], 0, True)","(2, True)","([0, 2], 0, False)","(1, False)","([1, 2], 0, True)","(0, False)","([0, 2], 0, True)","(1, True)","([0, 2], 1, True)","(0, False)","([0, 2], 1, False)","(1, True)","([1, 2], 0, False)","(1, True)","([0, 2], 1, True)","[0.3, 0.6]",[]
49,G1.2.1,service49,"(2, False)","([0, 2], 1, False)","(1, False)","([1, 2], 1, False)","(0, True)","([0, 2], 0, False)","(2, True)","([2, 2], 0, True)","(0, True)","([0, 2], 0, True)","(0, True)","([1, 2], 1, True)","(2, True)","([0, 2], 0, True)","(2, False)","([2, 2], 0, True)","(0, False)","([0, 2], 0, True)","(1, True)","([0, 2], 0, False)","(2, False)","([0, 2], 0, True)","(0, False)","([1, 2], 0, True)","(1, True)","([0, 2], 1, True)","(2, True)","([0, 2], 0, True)","(1, True)","([2, 2], 1, True)","(1, False)","([2, 2], 1, True)","(2, False)","([0, 2], 1, False)","(2, True)","([1, 2], 0, True)","(2, True)","([0, 2], 0, True)","(2, True)","([1, 2], 0, False)","(0, True)","([0, 2], 0, False)","(1, True)","([0, 2], 0, True)","(1, False)","([2, 2], 1, True)","(0, False)","([0, 2], 1, True)","(1, False)","([0, 2], 0, False)","(0, False)","([0, 2], 0, False)","(0, True)","([0, 2], 1, False)","(1, True)","([0, 2], 0, False)","(0, False)","([0, 2], 0, True)","(0, True)","([1, 2], 1, True)","(2, False)","([0, 2], 0, True)","(0, False)","([0, 2], 1, True)","(1, True)","([1, 2], 1, False)","(0, False)","([0, 2], 1, True)","(1, True)","([0, 2], 0, False)","(0, True)","([2, 2], 1, True)","(2, False)","([1, 2], 0, True)","(1, True)","([1, 2], 0, False)","(1, False)","([0, 2], 0, False)","(0, True)","([2, 2], 0, False)","(1, False)","([0, 2], 0, False)","(0, True)","([0, 2], 0, True)","(0, False)","([2, 2], 0, True)","(1, True)","([0, 2], 0, True)","(1, False)","([0, 2], 1, False)","(0, False)","([0, 2], 0, False)","(0, True)","([0, 2], 0, False)","(0, True)","([0, 2], 1, True)","(0, True)","([0, 2], 0, False)","(1, False)","([0, 2], 1, False)","[0.6, 0.9]",[]
